,car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
408,Hyundai i20 Sportz,345000,69000,Petrol,Mumbai,2012
409,Maruti Suzuki Dzire,696000,14895,Petrol,Pune,2018
410,Tata Tiago XZ,810000,11444,CNG,Delhi,2022
411,Tata Tiago Revotron,413999,32120,Petrol,Delhi,2018
412,Toyota Fortuner 2.8,3300000,64300,Diesel,Ahmedabad,2019
413,Tata Harrier XZA,2200000,30503,Diesel,Thane,2021
414,Honda City SV,825000,62042,Petrol,Ahmedabad,2019
415,Mahindra TUV300 T8,745000,122924,Diesel,Hyderabad,2017
416,Ford EcoSport Titanium,690000,37000,Petrol,Ahmedabad,2016
417,Skoda Kushaq Style,1925000,23402,Petrol,Bangalore,2021
418,Audi A4 35,1725000,35000,Petrol,Mumbai,2015
419,Hyundai Elite i20,639000,38657,Petrol,Pune,2017
420,Maruti Suzuki Wagon,445000,64000,Petrol,Hyderabad,2016
421,Hyundai Grand i10,509999,35094,Petrol,Pune,2018
422,Toyota Glanza G,730000,18000,Petrol,Thiruvallur,2021
423,Nissan Magnite XE,670000,18503,Petrol,Pune,2021
424,Ford EcoSport Titanium,825000,30000,Petrol,Delhi,2018
425,Honda Jazz ZX,842000,33197,Petrol,Chennai,2020
426,Land Rover Range,7700000,39800,Petrol,Thane,2019
427,Ford EcoSport Titanium,690000,83000,Diesel,Ahmedabad,2016
428,BMW 3 Series,3600000,3600000,Diesel,Pune,2019
429,Maruti Suzuki Swift,715000,24783,Petrol,Kolkata,2021
430,Maruti Suzuki Vitara,815000,55000,Diesel,Thane,2017
431,Hyundai Santro Sportz,554000,11844,Petrol,Pune,2019
432,Jeep Compass Limited,1695000,37430,Diesel,Hyderabad,2017
433,Mahindra XUV500 W8,878999,81682,Diesel,Bangalore,2013
434,Hyundai Xcent S,490000,32700,Petrol,Ahmedabad,2014
435,Honda WR-V VX,1019000,23795,Petrol,Chennai,2021
436,Maruti Suzuki Swift,518000,37188,Petrol,Pune,2015
437,Maruti Suzuki Alto,379000,27044,Petrol,Bangalore,2017
438,Hyundai Elite i20,660000,52451,Diesel,Hyderabad,2016
439,MG Hector Sharp,1648999,35200,Petrol,Bangalore,2020
440,Hyundai Elite i20,849000,30490,Petrol,Bangalore,2019
441,Maruti Suzuki Celerio,500000,65000,Petrol,Thane,2019
442,Maruti Suzuki Alto,349000,36427,CNG,Mumbai,2017
443,Hyundai Santro Sportz,589000,47873,Petrol,Pune,2020
444,Mahindra XUV500 W10,865000,116000,Diesel,Noida,2015
445,Volkswagen Taigun Topline,1789999,11321,Petrol,Thane,2022
446,Hyundai Creta E,930000,12000,Petrol,Thane,2018
447,Hyundai Grand i10,695000,23671,Petrol,Bangalore,2018
448,Maruti Suzuki SX4,160000,58000,Petrol,Kolkata,2009
449,Honda Amaze 1.2,665000,38868,Petrol,Delhi,2018
450,Honda City VX,795000,33613,Petrol,Mumbai,2016
451,Audi Q3 35,2050000,90246,Diesel,Ahmedabad,2016
452,Hyundai Grand i10,500000,58005,Petrol,Thane,2018
453,Toyota Yaris V,980000,44000,Petrol,Hyderabad,2018
454,Maruti Suzuki Swift,704000,28151,Petrol,Delhi,2019
455,Hyundai Creta 1.6,745000,59233,Petrol,Noida,2015
456,Hyundai Grand i10,500000,34000,Diesel,Thiruvallur,2017
457,Maruti Suzuki Baleno,610000,47500,Petrol,Thane,2017
458,Honda City 1.5,325000,82000,Petrol,Thane,2010
459,Toyota Fortuner Legender,4850000,28000,Diesel,Pune,2021
460,Toyota Etios Cross,434999,32545,Petrol,Kolkata,2015
461,Honda City V,653000,82852,Petrol,Delhi,2014
462,Ford EcoSport Titanium,599000,56615,Diesel,Thane,2015
463,Kia Seltos GTX,1490000,57600,Petrol,Chennai,2019
464,Hyundai Grand i10,620000,30704,Diesel,Hyderabad,2018
465,BMW X5 xDrive,4790000,60000,Diesel,Pune,2017
466,Maruti Suzuki Baleno,527000,14813,Petrol,Delhi,2016
467,Fiat Punto Active,350000,85451,Diesel,Hyderabad,2014
468,Renault Kwid CLIMBER,425000,39736,Petrol,Mumbai,2017
469,Mercedes-Benz C-Class C,2878000,31283,Diesel,Bangalore,2016
470,Honda City SV,615000,69000,Petrol,Thane,2015
471,Maruti Suzuki XL6,1290000,14222,Petrol,Ahmedabad,2022
472,Honda City 1.5,345000,63000,Petrol,Mumbai,2011
473,Volkswagen Polo Comfortline,290000,57261,Diesel,Kolkata,2013
474,Skoda Rapid Ambition,1013000,14049,Petrol,Kolkata,2020
475,Hyundai Eon Era,295000,75000,Petrol,Ahmedabad,2016
476,Maruti Suzuki S-Presso,476000,66,Petrol,Delhi,2021
477,Maruti Suzuki Dzire,785000,91000,Diesel,Hyderabad,2018
478,Maruti Suzuki Ritz,235000,39900,Petrol,Thane,2011
479,Hyundai Creta SX,1925000,9355,Petrol,Thane,2022
480,Maruti Suzuki Baleno,700000,55000,Petrol,Thiruvallur,2018
481,Volkswagen Taigun Highline,1748999,16777,Petrol,Bangalore,2021
482,Toyota Innova Crysta,2449000,55627,Diesel,Bangalore,2018
483,Maruti Suzuki Ertiga,595000,67590,Petrol,Mumbai,2014
484,Nissan Micra Active,325000,16937,Petrol,Kolkata,2017
485,Honda City V,875000,36000,Petrol,Mumbai,2018
486,Honda Amaze 1.2,857000,7702,Petrol,Pune,2022
487,Maruti Suzuki S-Presso,454000,50729,Petrol,Pune,2020
488,BMW 3 Series,2250000,63000,Petrol,Ahmedabad,2018
489,MINI Cooper Countryman,1475000,46251,Diesel,Ahmedabad,2014
490,Hyundai Verna 1.4,590000,67000,Petrol,Ahmedabad,2016
491,Mercedes-Benz CLA 200,2500000,52295,Diesel,Hyderabad,2016
492,Maruti Suzuki Alto,292000,52460,Petrol,Pune,2015
493,Hyundai i20 Asta,430000,41429,Petrol,Pune,2012
494,Jeep Compass Limited,1825000,28449,Petrol,Mumbai,2019
495,Hyundai Santro Sportz,526000,57588,Petrol,Pune,2019
496,Mercedes-Benz CLA 200,1648999,51500,Diesel,Kolkata,2015
497,Maruti Suzuki Wagon,490000,53830,Petrol,Ahmedabad,2018
498,Toyota Innova 2.5,425000,120000,Diesel,Thane,2009
499,Tata Indica V2,0,50000,Diesel,Pallikarnai,2007
500,Maruti Suzuki Alto,310000,68000,Petrol,Hyderabad,2015
501,Maruti Suzuki Baleno,655000,22772,Petrol,Kolkata,2018
502,Hyundai Grand i10,465000,22407,Petrol,Mumbai,2017
503,Hyundai Elite i20,630000,61546,Petrol,Pune,2018
504,Hyundai i20 Magna,310000,68000,Petrol,Noida,2012
505,Honda City SV,690000,45000,Petrol,Ahmedabad,2015
506,MG Astor Sharp,1685000,4946,Petrol,Thane,2021
507,Maruti Suzuki Wagon,463999,13889,Petrol,Pune,2017
508,Jeep Compass Limited,1692000,23409,Petrol,Pune,2019
509,Toyota Fortuner 2.8,3250000,82000,Diesel,Hyderabad,2017
510,Maruti Suzuki Celerio,415000,40900,Petrol,Bangalore,2014
511,Mercedes-Benz A-Class A,2295000,8368,Diesel,Bangalore,2017
512,Toyota Fortuner 3.0,1648999,107281,Diesel,Bangalore,2012
513,Maruti Suzuki Swift,340000,51595,Petrol,Delhi,2013
514,Renault Kwid 1.0,459999,22541,Petrol,Bangalore,2018
515,Mercedes-Benz GLC 220,4400000,46000,Diesel,Pune,2018
516,Maruti Suzuki Wagon,359000,20728,Petrol,Kolkata,2016
517,Hyundai Grand i10,595000,44868,Petrol,Bangalore,2019
518,Hyundai Grand i10,733000,18631,Petrol,Pune,2019
519,Toyota Innova Crysta,1889999,48969,Diesel,Thane,2018
520,Toyota Innova Crysta,3350000,42000,Diesel,Hyderabad,2022
521,Maruti Suzuki Wagon,649000,9011,Petrol,Bangalore,2021
522,Honda City VX,950000,77116,Petrol,Hyderabad,2015
523,Honda City Anniversary,819999,26500,Diesel + 1,Ambattur,2018
524,Hyundai Creta SX,1137000,22872,Petrol,Bangalore,2017
525,Volvo V40 D3,1600000,30000,Diesel,Ahmedabad,2016
526,Hyundai Elite i20,750000,33647,Petrol,Thane,2018
527,Maruti Suzuki Alto,223000,27233,Petrol,Kolkata,2014
528,Hyundai Creta SX,1725000,28374,Petrol,Thane,2021
529,Mahindra Scorpio S6,894999,80500,Diesel,Delhi,2017
530,Volkswagen Polo GT,944999,41417,Petrol,Bangalore,2017
531,Maruti Suzuki Alto,267000,23377,Petrol,Delhi,2015
532,Hyundai Elite i20,850000,75126,Diesel,Hyderabad,2018
533,Maruti Suzuki Ciaz,949000,16700,Petrol,Ahmedabad,2020
534,Honda WR-V VX,699000,27429,Petrol,Kolkata,2019
535,Renault Kwid RXL,295000,40000,Petrol,Noida,2018
536,Ford Figo Duratorq,475000,50945,Diesel,Hyderabad,2015
537,Maruti Suzuki Swift,650000,9500,Petrol,Thane,2019
538,Honda Civic 1.8V,235000,107551,Petrol,Mumbai,2009
539,Mahindra XUV700 AX,2800000,2100,Diesel,Ahmedabad,2022
540,Maruti Suzuki Swift,327000,40110,Petrol,Kolkata,2012
541,Honda Brio E,370000,60000,Petrol,Pallikarnai,2013
542,Honda CR-V 2.4,1251000,74009,Petrol,Mumbai,2015
543,BMW 3 Series,4750000,13900,Petrol,Ahmedabad,2020
544,BMW X5 xDrive,4800000,28000,Diesel,Ahmedabad,2017
545,Maruti Suzuki S-Presso,450000,11537,Petrol,Ahmedabad,2020
546,Toyota Glanza V,985000,15928,Petrol,Bangalore,2021
547,Mahindra Alturas G4,2145000,40180,Diesel,Kolkata,2019
548,Renault Duster 85,850000,22601,Diesel,Hyderabad,2018
549,BMW 3 Series,2750000,99000,Diesel,Hyderabad,2016
550,Maruti Suzuki Ignis,712000,10658,Petrol,Pune,2020
551,Maruti Suzuki Celerio,556000,75044,CNG,Pune,2020
552,Ford EcoSport Signature,1019999,52000,Diesel,Thane,2019
553,Maruti Suzuki Ciaz,875000,43999,Petrol,Bangalore,2018
554,Honda Jazz VX,570000,92270,Petrol,Mumbai,2017
555,Maruti Suzuki Swift,370000,77000,Petrol,Thane,2012
556,Audi Q3 35,1500000,148108,Diesel,Ahmedabad,2015
557,Maruti Suzuki Wagon,407000,39876,Petrol,Pune,2016
558,Jaguar XF 2.2,1950000,67534,Diesel,Ahmedabad,2014
559,Maruti Suzuki Alto,330000,75430,CNG,Pune,2015
560,Maruti Suzuki Alto,420000,20000,Petrol + 1,Thiruvallur,2022
561,Maruti Suzuki Vitara,1150000,32000,Diesel,Bangalore,2019
562,Hyundai Grand i10,535000,29000,Petrol,Hyderabad,2016
563,Hyundai i20 Active,645000,60273,Petrol,Hyderabad,2016
564,Honda Amaze 1.2,450000,57000,Petrol,Thane,2015
565,Tata Nexon XZ,1065000,3280,Petrol,Thane,2022
566,Audi Q7 Technology,9300000,6500,Petrol,Pune,2022
567,Toyota Fortuner 2.8,3250000,51000,Diesel,Mumbai,2018
568,Toyota Corolla Altis,645000,90293,Petrol,Mumbai,2015
569,Maruti Suzuki Swift,395000,36000,Petrol,Thane,2013
570,Mercedes-Benz E-Class E250,2200000,39000,Diesel,Ahmedabad,2014
571,BMW 5 Series,5195000,25234,Diesel,Hyderabad,2019
572,Hyundai i10 Magna,349000,75619,Petrol,Chennai,2014
573,Skoda Kodiaq L&K,3260000,61213,Diesel,Hyderabad,2019
574,Renault Kwid RXT,446000,36904,Petrol,Pune,2021
575,Maruti Suzuki Swift,542000,16304,Petrol,Kolkata,2018
576,Skoda Octavia Elegance,944999,43000,Petrol,Mumbai,2015
577,Tata Nexon XZA,1225000,20763,Petrol,Faridabad,2021
578,Maruti Suzuki Eeco,475000,38500,CNG,Thane,2016
579,Mahindra Thar CRDe,730000,41535,Diesel,Hyderabad,2017
580,Maruti Suzuki Baleno,731000,24645,Petrol,Thane,2019
581,BMW X5 xDrive,5300000,48213,Diesel,Mumbai,2018
582,BMW X5 xDrive30d,4250000,80000,Diesel,Thane,2017
583,Audi Q3 2.0,1513000,79000,Diesel,Ahmedabad,2015
584,Maruti Suzuki Ciaz,1155000,32031,Petrol,Mumbai,2021
585,Hyundai i10 Sportz,295000,65002,Petrol,Thane,2013
586,Mahindra XUV300 W8,1574000,39300,Diesel,Pune,2021
587,Renault Kwid 1.0,495000,25332,Petrol,Bangalore,2016
588,Maruti Suzuki Alto,298000,24456,Petrol,Pune,2016
589,Hyundai Grand i10,521000,32491,Petrol,Chennai,2017
590,Hyundai Elite i20,645000,12593,Petrol,Mumbai,2018
591,Hyundai Santro Sportz,550000,34267,Petrol,Pune,2019
592,Maruti Suzuki Celerio,482000,29855,Petrol,Delhi,2016
593,Hyundai i20 Active,550000,15367,Petrol,Thane,2015
594,Hyundai Venue S,894999,14667,Petrol,Kolkata,2019
595,Hyundai Verna 1.6,549000,41990,Petrol,Kolkata,2016
596,Hyundai Creta 1.6,1425000,59000,Diesel,Hyderabad,2018
597,Hyundai Xcent S,350000,48000,Diesel,Kolkata,2015
598,Maruti Suzuki Celerio,560000,17542,Petrol,Bangalore,2018
599,Skoda Rapid Ambition,899000,57702,Petrol,Bangalore,2018
600,Honda City 1.5,620000,42408,Petrol,Hyderabad,2013
601,Renault Triber RXZ,750000,19784,Petrol,Mumbai,2020
602,Honda City VX,599000,51000,Petrol,Kolkata,2016
603,Renault Duster 85,861999,75795,Diesel,Bangalore,2018
604,Toyota Innova Crysta,3250000,22562,Diesel,Hyderabad,2021
605,Maruti Suzuki Baleno,894999,21367,Petrol,Bangalore,2018
606,Mercedes-Benz C-Class 200,463000,76000,Petrol,Ahmedabad,2006
607,Mercedes-Benz C-Class C,2650000,30000,Diesel,Bangalore,2015
608,Hyundai Grand i10,535000,41017,Petrol,Mumbai,2015
609,Hyundai Grand i10,524000,58184,Petrol,Pune,2016
610,Maruti Suzuki Ciaz,900000,31573,Petrol,Hyderabad,2018
611,Tata Nexon EV,1500000,4100,Electric,Mumbai,2022
612,Mahindra Quanto C8,300000,100000,Diesel,Thiruvallur,2012
613,Tata Tigor Buzz,490000,33100,Petrol,Ahmedabad,2018
614,Maruti Suzuki Dzire,665000,19000,Petrol,Thane,2018
615,Honda City V,991000,9300,Petrol,Ahmedabad,2022
616,Hyundai Grand i10,733000,18631,Petrol,Pune,2019
617,Hyundai Tucson 2WD,761000,12030,Diesel,Delhi,2021
618,Hyundai Elite i20,779000,9889,Petrol,Bangalore,2016
619,Skoda Octavia 1.8,1950000,41000,Petrol,Chennai,2019
620,Hyundai Verna SX,1025000,69599,Diesel,Ahmedabad,2017
621,Hyundai Grand i10,376000,56322,Petrol,Delhi,2014
622,Hyundai Santro Xing,265000,24587,Petrol,Delhi,2013
623,Hyundai Creta SX,975000,43398,Petrol,Thane,2017
624,BMW 3 Series,900000,40000,Diesel,Kolkata,2011
625,Maruti Suzuki Wagon,687000,18512,Petrol,Pune,2021
626,Maruti Suzuki Alto,369000,13046,Petrol,Kolkata,2020
627,Hyundai i10 1.1L,390000,73700,Petrol,Ahmedabad,2014
628,Honda WR-V VX,890000,6000,Petrol,Thane,2019
629,Tata Harrier XTA,2500000,6861,Diesel,Hyderabad,2022
630,Hyundai Elite i20,465000,53776,Petrol,Thane,2015
631,Skoda Rapid Style,654000,61681,Diesel,Kolkata,2017
632,Renault Kwid RXL,351000,13045,Petrol,Delhi,2019
633,Maruti Suzuki Swift,526000,98251,Diesel,Pune,2012
634,Renault Kwid CLIMBER,380000,52778,Petrol,Hyderabad,2018
635,Hyundai Creta SX,911000,45000,Petrol,Mumbai,2016
636,Nissan Terrano XL,625000,72000,Diesel,Ahmedabad,2015
637,MG Hector Sharp,1975000,20999,Petrol,Bangalore,2021
638,Maruti Suzuki Ritz,315000,42000,Petrol,Thane,2012
639,Maruti Suzuki Vitara,859000,72255,Petrol,Chennai,2020
640,Hyundai Creta 1.6,1002999,48529,Petrol,Pune,2017
641,Honda Jazz S,673000,55056,Petrol,Bangalore,2017
642,Land Rover Range,7898999,31059,Petrol,Kolkata,2020
643,Renault Duster 110,570000,56816,Diesel,Thane,2014
644,Maruti Suzuki Ertiga,1190000,12587,Petrol,Ahmedabad,2021
645,Toyota Innova Crysta,1850000,56967,Diesel,Hyderabad,2017
646,Renault Kwid Neotech,549000,5485,Petrol,Pune,2021
647,Renault Captur Platine,675000,51720,Diesel,Kolkata,2019
648,Hyundai Santro Sportz,518000,29944,Petrol,Pune,2018
649,Hyundai Verna 1.6,750000,16339,Petrol,Kolkata,2018
650,Maruti Suzuki Vitara,985000,93500,Diesel,Hyderabad,2018
651,Tata Nexon XMA,941000,20678,Diesel,Thane,2019
652,Honda City S,695000,31605,Petrol,Thane,2017
653,Hyundai Verna SX,1383000,14512,Diesel,Hyderabad,2021
654,Maruti Suzuki Alto,319000,24993,Petrol,Delhi,2018
655,Maruti Suzuki Wagon,490000,53830,Petrol,Ahmedabad,2018
656,Mahindra XUV300 1.5,1150000,72000,Diesel,Hyderabad,2018
657,Toyota Innova Crysta,2250000,52907,Diesel,Chennai,2017
658,Ford Figo Titanium,550000,49223,Petrol,Hyderabad,2016
659,Toyota Corolla Altis,885000,125000,Petrol,Delhi,2018
660,Tata Tiago Revotron,639000,32210,Petrol,Bangalore,2018
661,Honda WR-V VX,819999,27963,Petrol,Delhi,2018
662,Volkswagen Tiguan Highline,2400000,74000,Diesel,Hyderabad,2017
663,Audi Q7 45,6150000,40000,Diesel,Ahmedabad,2017
664,Mahindra XUV500 W8,750000,147421,Diesel,Bangalore,2012
665,BMW X1 sDrive20d,3250000,36114,Diesel,Mumbai,2019
666,Toyota Camry Hybrid,2143000,82000,Petrol,Delhi,2017
667,Honda Amaze 1.2,459999,65000,Petrol,Ambattur,2014
668,Mercedes-Benz C-Class 250,950000,99941,Diesel,Ahmedabad,2012
669,Ford EcoSport Titanium,484999,74000,Diesel,Thane,2013
670,Maruti Suzuki Swift,370000,76256,Petrol,Kolkata,2015
671,Fiat Punto Evo,400000,36500,Petrol,Ambattur,2016
672,Maruti Suzuki Ignis,525000,41240,Petrol,Mumbai,2017
673,Jeep Compass Limited,1692000,23409,Petrol,Pune,2019
674,Mercedes-Benz E-Class E,7400000,11000,Diesel,Delhi,2022
675,Mercedes-Benz C-Class 250,1395000,55910,Diesel,Bangalore,2013
676,Hyundai Grand i10,479000,38345,Petrol,Pune,2016
677,Audi A6 Technology,4800000,23931,Petrol,Ahmedabad,2020
678,Mahindra XUV500 W7,1350000,73342,Diesel,Mumbai,2020
679,Honda Amaze 1.2,851000,17500,Petrol,Ahmedabad,2021
680,Kia Seltos GTX,1491000,23113,Petrol,Bangalore,2019
681,Mercedes-Benz GLE 250,4275000,47045,Diesel,Thane,2016
682,Hyundai Grand i10,415000,32064,Petrol,Pune,2014
683,Maruti Suzuki Dzire,637000,76203,Petrol,Chennai,2017
684,Hyundai Grand i10,476999,27448,Petrol,Kolkata,2019
685,Jeep Compass Limited,2250000,5030,Petrol,Kolkata,2021
686,Hyundai Santro Magna,509999,30858,Petrol,Hyderabad,2019
687,Maruti Suzuki Swift,550000,48000,Petrol,Thane,2016
688,Hyundai i10 Sportz,320000,36500,Petrol,Ahmedabad,2011
689,Maruti Suzuki Celerio,524000,34039,CNG,Pune,2018
690,Hyundai Elite i20,536000,24062,Petrol,Kolkata,2018
691,Mercedes-Benz C-Class C,3000000,64148,Diesel,Hyderabad,2015
692,MG Hector Sharp,1611000,46301,Diesel,Mumbai,2019
693,Mahindra Thar LX,1698999,3590,Petrol,Bangalore,2022
694,Toyota Fortuner 3.0,1989999,134361,Diesel,Hyderabad,2014
695,Toyota Fortuner 4x2,2649000,108512,Diesel,Ahmedabad,2016
696,Hyundai Grand i10,778000,8423,CNG,Pune,2021
697,Volkswagen Polo Comfortline,345000,78800,Petrol,Thane,2013
698,Maruti Suzuki Ciaz,745000,46023,Petrol,Mumbai,2018
699,Hyundai Verna 1.6,675000,47000,Petrol,Ahmedabad,2017
700,Hyundai Elite i20,683000,18352,Petrol,Delhi,2017
701,Honda Amaze 1.2,459999,70000,Petrol,Thane,2015
702,MG Astor Savvy,1475000,12000,Petrol,Delhi,2021
703,Maruti Suzuki Vitara,875000,36422,Diesel,Mumbai,2019
704,Honda City 1.5,565000,86593,Petrol,Bangalore,2012
705,Hyundai Eon Era,250000,34000,Petrol,Thane,2013
706,Ford EcoSport Titanium,685000,48504,Petrol,Mumbai,2016
707,Maruti Suzuki Swift,564000,12463,Petrol,Chennai,2020
708,Maruti Suzuki Alto,299000,54923,Petrol,Pune,2017
709,Honda Brio S,305000,52000,Petrol,Thane,2013
710,Mahindra XUV500 W10,1499000,53075,Diesel,Bangalore,2017
711,BMW X1 sDrive20d,2175000,21000,Diesel,Mumbai,2017
712,Maruti Suzuki Wagon,391000,18705,Petrol,Delhi,2017
713,Maruti Suzuki Swift,690000,69000,Diesel,Ahmedabad,2017
714,Maruti Suzuki Dzire,770000,71250,Diesel,Hyderabad,2017
715,Hyundai Creta Facelift,1920000,18583,Petrol,Thane,2022
716,Maruti Suzuki Vitara,950000,117859,Diesel,Hyderabad,2017
717,Hyundai Elite i20,575000,67000,Petrol,Hyderabad,2015
718,Maruti Suzuki Baleno,483000,57052,Petrol,Kolkata,2016
719,Toyota Innova Crysta,1975000,75000,Diesel,Ahmedabad,2018
720,Hyundai Elantra SX,1090000,71395,Petrol,Mumbai,2016
721,Maruti Suzuki Alto,389000,24550,Petrol,Pune,2016
722,Volkswagen Ameo Comfortline,590000,28000,Petrol,Ahmedabad,2019
723,Maruti Suzuki Dzire,634000,8087,Petrol,Kolkata,2019
724,Volkswagen Vento Highline,445000,88000,Petrol,Mumbai,2014
725,Tata Nexon XMA,745000,26438,Petrol,Thane,2019
726,Honda City V,996000,71420,Petrol,Chennai,2018
727,Maruti Suzuki Vitara,1117000,21052,Petrol,Pune,2020
728,Audi Q7 4.2,3200000,170000,Diesel,Bangalore,2014
729,Honda City V,885000,43417,Petrol,Mumbai,2017
730,Maruti Suzuki Swift,325000,75100,Petrol,Delhi,2012
731,Toyota Camry Hybrid,4850000,700,Petrol,Pune,2022
732,Honda Brio S,450000,21996,Petrol,Ahmedabad,2016
733,Tata Harrier XZA,2251000,30229,Diesel,Mumbai,2021
734,Maruti Suzuki Alto,299000,37796,Petrol,Pune,2016
735,MG Hector Sharp,1866000,32000,Hybrid,Pallikarnai,2022
736,Maruti Suzuki Dzire,880000,40904,Petrol,Hyderabad,2020
737,Hyundai Grand i10,415000,43000,Diesel,Thane,2015
738,Maruti Suzuki Wagon,295000,80173,CNG,Mumbai,2012
739,Maruti Suzuki Alto,379000,18512,Petrol,Bangalore,2018
740,Honda City V,625000,73000,Petrol,Ahmedabad,2016
741,Maruti Suzuki Celerio,689000,1064,CNG,Pune,2022
742,Hyundai Grand i10,409999,37000,Petrol + 1,Thiruvallur,2017
743,Hyundai Santro Sportz,486000,60600,Petrol,Chennai,2019
744,Hyundai Elite i20,495000,21344,Petrol,Mumbai,2016
745,Hyundai Creta SX,1285000,82899,Diesel,Mumbai,2018
746,Maruti Suzuki Celerio,450000,29192,Petrol,Kolkata,2018
747,Maruti Suzuki Celerio,364000,11363,Petrol,Kolkata,2015
748,Maruti Suzuki Wagon,250000,77050,CNG,Ahmedabad,2011
749,Tata Tiago Revotron,525000,24051,Petrol,Thane,2018
750,Mahindra XUV500 W10,1375000,75811,Diesel,Bangalore,2016
751,Tata Tiago Revotron,465000,45412,Petrol,Mumbai,2017
752,Toyota Innova Crysta,1580000,115000,Diesel,Delhi,2018
753,Maruti Suzuki Swift,730000,90251,Diesel,Hyderabad,2018
754,Maruti Suzuki Wagon,359000,28518,Petrol,Kolkata,2016
755,Datsun GO T,361000,33766,Petrol,Hyderabad,2018
756,Ford Fiesta Exi,175000,114000,Petrol + 1,Pallikarnai,2009
757,Volvo S90 D4,4750000,30000,Diesel,Delhi,2020
758,Maruti Suzuki Swift,428000,12902,Petrol,Kolkata,2014
759,Maruti Suzuki Vitara,844999,62769,Diesel,Mumbai,2018
760,Hyundai Grand i10,349000,52242,Diesel,Kolkata,2015
761,Honda Jazz ZX,1024000,9838,Petrol,Pune,2021
762,Renault Kwid Neotech,475000,12000,Petrol,Mumbai,2021
763,Honda BR-V V,775000,76275,Petrol,Mumbai,2016
764,Honda City V,765000,29500,Petrol,Thane,2017
765,Tata Safari XZA,2395000,22617,Diesel,Bangalore,2021
766,Renault Triber RXZ,670000,25000,Petrol,Thiruvallur,2020
767,Maruti Suzuki Wagon,463999,13889,Petrol,Pune,2017
768,BMW 7 Series,6975000,22000,Diesel,Ahmedabad,2017
769,Nissan Sunny XL,575000,29208,Diesel,Ahmedabad,2017
770,Volkswagen Vento Trendline,315000,62000,Petrol,Thane,2011
771,Land Rover Range,5300000,22000,Diesel,Bangalore,2018
772,Hyundai Eon Era,350000,26700,Petrol,Ahmedabad,2017
773,Honda Jazz V,530000,41217,Petrol,Mumbai,2016
774,Hyundai Creta SX,750000,56747,Petrol,Thane,2015
775,Maruti Suzuki Wagon,553000,51765,CNG,Delhi,2020
776,Honda Amaze 1.2,465000,54000,Petrol,Mumbai,2014
777,Tata Harrier XZA,2250000,9535,Diesel,Ahmedabad,2021
778,Hyundai Santro Sportz,484999,25000,Petrol,Ahmedabad,2019
779,Maruti Suzuki Wagon,400000,47000,CNG,Thane,2015
780,Honda City VX,750000,46399,Petrol,Mumbai,2015
781,Maruti Suzuki Alto,370000,47377,CNG,Delhi,2019
782,Hyundai Grand i10,669000,44300,Petrol,Bangalore,2019
783,Toyota Innova Crysta,1975000,144286,Diesel,Hyderabad,2017
784,Hyundai i10 Asta,325000,46721,Petrol,Thane,2013
785,Hyundai Elite i20,799000,21303,Petrol,Bangalore,2018
786,Maruti Suzuki Ritz,409999,80000,Diesel,Thane,2014
787,Audi Q3 2.0,1579000,73000,Diesel,Delhi,2015
788,Chevrolet Beat LS,150000,84656,Diesel + 1,Ambattur,2011
789,Hyundai Elite i20,565000,18523,Petrol,Mumbai,2015
790,Honda Amaze 1.5,560000,76018,Diesel,Hyderabad,2015
791,Nissan Sunny XL,495000,73056,Petrol,Bangalore,2013
792,Hyundai Venue SX,1300000,23221,Diesel,Thane,2021
793,Honda Brio V,285000,71000,Petrol,Noida,2011
794,Hyundai Elite i20,723000,13825,Petrol,Pune,2019
795,Tata Zest XM,550000,101785,Diesel,Chennai,2015
796,Maruti Suzuki Wagon,409999,24000,CNG,Thane,2015
797,Maruti Suzuki Celerio,558000,77813,CNG,Pune,2019
798,Maruti Suzuki Baleno,618000,41617,Petrol,Delhi,2019
799,BMW 3 Series,1200000,41000,Diesel,Kolkata,2013
800,Maruti Suzuki Wagon,378000,55847,Petrol,Pune,2015
801,Renault Duster RXZ,1190000,16600,Petrol,Chennai,2020
802,Honda Jazz V,599000,57340,Petrol,Ahmedabad,2019
803,Hyundai i20 Active,590000,45173,Petrol,Mumbai,2015
804,Honda City VX,999000,58019,Petrol,Bangalore,2017
805,Hyundai Elite i20,565000,18523,Petrol,Mumbai,2015
806,Hyundai Grand i10,499000,53150,Petrol,Thane,2015
807,Tata Nexon XZA,1099000,44999,Petrol,Bangalore,2020
808,Hyundai Santro Sportz,540000,12996,Petrol,Bangalore,2021
809,Tata Nexon XZ,913000,50043,Petrol,Pune,2018
810,Maruti Suzuki Ciaz,686000,21880,Petrol,Delhi,2018
811,Volkswagen Polo Highline1.2L,550000,36486,Diesel,Hyderabad,2014
812,Toyota Yaris J,847000,18535,Petrol,Pune,2019
813,Maruti Suzuki Swift,675000,37090,Petrol,Ahmedabad,2018
814,Honda Jazz S,650000,26361,Petrol,Hyderabad,2018
815,Honda City ZX,811000,72973,Petrol,Kolkata,2017
816,Toyota Etios VX,411000,121790,Petrol,Mumbai,2014
817,Renault Kwid 1.0,270000,140000,Petrol,Thiruvallur,2018
818,Hyundai Grand i10,525000,39200,Petrol,Pune,2017
